erin@debian:~/Main/Julia$ julia may27-calling.jl 
helo the file opened
After sweep 18 energy=-8.249999999999993  maxlinkdim=2 maxerr=1.23E-32 time=0.011
After sweep 19 energy=-8.249999999999993  maxlinkdim=2 maxerr=1.23E-32 time=0.010
After sweep 20 energy=-8.249999999999993  maxlinkdim=2 maxerr=1.23E-32 time=0.017
Energy: -8.250000
Difference: 0.000000
After sweep 1 energy=-8.999999028750869  maxlinkdim=27 maxerr=9.74E-13 time=0.043
After sweep 2 energy=-8.999999999999995  maxlinkdim=2 maxerr=9.31E-13 time=0.036
After sweep 3 energy=-8.999999999999991  maxlinkdim=2 maxerr=9.39E-32 time=0.013
After sweep 4 energy=-8.999999999999991  maxlinkdim=2 maxerr=1.54E-32 time=0.013
After sweep 5 energy=-8.999999999999991  maxlinkdim=2 maxerr=7.70E-33 time=0.013
After sweep 6 energy=-8.999999999999991  maxlinkdim=2 maxerr=1.23E-32 time=0.012
After sweep 7 energy=-8.999999999999991  maxlinkdim=2 maxerr=7.70E-33 time=0.012
After sweep 8 energy=-8.999999999999991  maxlinkdim=2 maxerr=7.70E-33 time=0.023
After sweep 9 energy=-8.999999999999991  maxlinkdim=2 maxerr=7.70E-33 time=0.012
After sweep 10 energy=-8.999999999999991  maxlinkdim=2 maxerr=1.23E-32 time=0.012
After sweep 11 energy=-8.999999999999996  maxlinkdim=2 maxerr=1.23E-32 time=0.013
After sweep 12 energy=-8.999999999999988  maxlinkdim=2 maxerr=1.23E-32 time=0.012
After sweep 13 energy=-8.99999999999999  maxlinkdim=2 maxerr=1.23E-32 time=0.012
After sweep 14 energy=-8.999999999999986  maxlinkdim=2 maxerr=1.23E-32 time=0.018
After sweep 15 energy=-8.999999999999986  maxlinkdim=2 maxerr=1.23E-32 time=0.012
After sweep 16 energy=-8.999999999999991  maxlinkdim=2 maxerr=1.23E-32 time=0.013
After sweep 17 energy=-8.999999999999993  maxlinkdim=2 maxerr=2.47E-32 time=0.012
After sweep 18 energy=-8.999999999999986  maxlinkdim=2 maxerr=1.23E-32 time=0.013
After sweep 19 energy=-8.999999999999995  maxlinkdim=2 maxerr=2.47E-32 time=0.012
After sweep 20 energy=-8.999999999999993  maxlinkdim=2 maxerr=1.23E-32 time=0.017
Energy: -9.000000
Difference: 0.000000
After sweep 1 energy=-9.749997680984201  maxlinkdim=28 maxerr=9.74E-13 time=0.058
After sweep 2 energy=-9.749999999999996  maxlinkdim=2 maxerr=9.26E-13 time=0.025
After sweep 3 energy=-9.749999999999993  maxlinkdim=2 maxerr=7.23E-32 time=0.016
After sweep 4 energy=-9.749999999999996  maxlinkdim=2 maxerr=1.54E-32 time=0.013
After sweep 5 energy=-9.749999999999982  maxlinkdim=2 maxerr=1.54E-32 time=0.015
After sweep 6 energy=-9.749999999999998  maxlinkdim=2 maxerr=2.00E-32 time=0.023
After sweep 7 energy=-9.749999999999996  maxlinkdim=2 maxerr=2.47E-32 time=0.013
After sweep 8 energy=-9.749999999999995  maxlinkdim=2 maxerr=7.70E-33 time=0.012
After sweep 9 energy=-9.749999999999986  maxlinkdim=2 maxerr=2.47E-32 time=0.014
After sweep 10 energy=-9.749999999999996  maxlinkdim=2 maxerr=2.00E-32 time=0.012
After sweep 11 energy=-9.749999999999998  maxlinkdim=2 maxerr=1.23E-32 time=0.018
After sweep 12 energy=-9.749999999999998  maxlinkdim=2 maxerr=2.77E-32 time=0.013
After sweep 13 energy=-9.750000000000004  maxlinkdim=2 maxerr=5.24E-32 time=0.014
After sweep 14 energy=-9.749999999999995  maxlinkdim=2 maxerr=7.70E-33 time=0.013
After sweep 15 energy=-9.749999999999998  maxlinkdim=2 maxerr=7.70E-33 time=0.013
After sweep 16 energy=-9.749999999999995  maxlinkdim=2 maxerr=6.16E-33 time=0.014
After sweep 17 energy=-9.749999999999998  maxlinkdim=2 maxerr=2.47E-32 time=0.017
After sweep 18 energy=-9.749999999999998  maxlinkdim=2 maxerr=6.16E-33 time=0.014
After sweep 19 energy=-9.749999999999998  maxlinkdim=2 maxerr=1.54E-32 time=0.012
After sweep 20 energy=-9.749999999999996  maxlinkdim=2 maxerr=7.70E-33 time=0.014
Energy: -9.750000
Difference: 0.000000
After sweep 1 energy=-10.49999780626688  maxlinkdim=24 maxerr=9.82E-13 time=0.057
After sweep 2 energy=-10.50000000000002  maxlinkdim=2 maxerr=9.33E-13 time=0.038
After sweep 3 energy=-10.499999999999977  maxlinkdim=2 maxerr=1.80E-31 time=0.016
After sweep 4 energy=-10.499999999999995  maxlinkdim=2 maxerr=8.05E-33 time=0.015
After sweep 5 energy=-10.49999999999999  maxlinkdim=2 maxerr=1.23E-32 time=0.014
After sweep 6 energy=-10.499999999999988  maxlinkdim=2 maxerr=2.84E-32 time=0.015
After sweep 7 energy=-10.49999999999999  maxlinkdim=2 maxerr=2.62E-32 time=0.014
After sweep 8 energy=-10.499999999999984  maxlinkdim=2 maxerr=2.91E-32 time=0.019
After sweep 9 energy=-10.499999999999988  maxlinkdim=2 maxerr=2.77E-32 time=0.014
After sweep 10 energy=-10.49999999999999  maxlinkdim=2 maxerr=1.54E-32 time=0.015
After sweep 11 energy=-10.499999999999993  maxlinkdim=2 maxerr=1.54E-32 time=0.013
After sweep 12 energy=-10.499999999999995  maxlinkdim=2 maxerr=2.47E-32 time=0.015
After sweep 13 energy=-10.499999999999993  maxlinkdim=2 maxerr=1.54E-32 time=0.019
After sweep 14 energy=-10.499999999999993  maxlinkdim=2 maxerr=1.54E-32 time=0.015
After sweep 15 energy=-10.499999999999988  maxlinkdim=2 maxerr=3.08E-32 time=0.013
After sweep 16 energy=-10.49999999999999  maxlinkdim=2 maxerr=2.77E-32 time=0.015
After sweep 17 energy=-10.499999999999995  maxlinkdim=2 maxerr=2.47E-32 time=0.014
After sweep 18 energy=-10.499999999999988  maxlinkdim=2 maxerr=1.54E-32 time=0.021
After sweep 19 energy=-10.499999999999988  maxlinkdim=2 maxerr=1.54E-32 time=0.013
After sweep 20 energy=-10.49999999999999  maxlinkdim=2 maxerr=6.16E-33 time=0.015
Energy: -10.500000
Difference: 0.000000
After sweep 1 energy=-11.249997153214682  maxlinkdim=26 maxerr=9.98E-13 time=0.061
After sweep 2 energy=-11.249999999999993  maxlinkdim=2 maxerr=9.78E-13 time=0.038
After sweep 3 energy=-11.249999999999996  maxlinkdim=2 maxerr=2.76E-31 time=0.017
After sweep 4 energy=-11.249999999999996  maxlinkdim=2 maxerr=1.54E-32 time=0.015
After sweep 5 energy=-11.250000000000002  maxlinkdim=2 maxerr=1.54E-32 time=0.015
After sweep 6 energy=-11.249999999999993  maxlinkdim=2 maxerr=1.54E-32 time=0.015
After sweep 7 energy=-11.249999999999998  maxlinkdim=2 maxerr=2.47E-32 time=0.020
